  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 1413                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.685 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1172   0.00613   0.00160  -0.0256   0.6916   0.7282
   0.250   0.1435   0.00611   0.00162  -0.0250   0.6727   0.7579
   0.500   0.1698   0.00612   0.00165  -0.0245   0.6537   0.7862
   0.750   0.1960   0.00614   0.00169  -0.0239   0.6349   0.8136
   1.000   0.2222   0.00618   0.00174  -0.0233   0.6161   0.8392
   1.500   0.2744   0.00631   0.00187  -0.0220   0.5794   0.8858
   2.000   0.3267   0.00652   0.00203  -0.0207   0.5434   0.9231
   2.250   0.3533   0.00665   0.00212  -0.0202   0.5256   0.9386
   2.500   0.3819   0.00680   0.00222  -0.0201   0.5076   0.9508
   2.750   0.4123   0.00696   0.00232  -0.0204   0.4893   0.9608
   3.000   0.4426   0.00713   0.00243  -0.0208   0.4708   0.9704
   3.250   0.4784   0.00733   0.00255  -0.0224   0.4510   0.9756
   3.500   0.5117   0.00753   0.00267  -0.0236   0.4310   0.9822
   3.750   0.5511   0.00775   0.00279  -0.0261   0.4090   0.9846
   4.000   0.5903   0.00795   0.00292  -0.0286   0.3856   0.9879
   4.250   0.6272   0.00821   0.00306  -0.0306   0.3607   0.9920
   4.500   0.6643   0.00844   0.00320  -0.0327   0.3350   0.9948
   4.750   0.7010   0.00872   0.00335  -0.0347   0.3081   0.9972
   5.000   0.7372   0.00901   0.00352  -0.0367   0.2802   0.9997
   5.250   0.7609   0.00926   0.00368  -0.0361   0.2570   1.0000
   5.500   0.7819   0.00954   0.00385  -0.0348   0.2342   1.0000
   5.750   0.8024   0.00984   0.00404  -0.0335   0.2125   1.0000
   6.000   0.8231   0.01014   0.00424  -0.0321   0.1915   1.0000
   6.250   0.8433   0.01047   0.00448  -0.0307   0.1713   1.0000
   6.500   0.8633   0.01083   0.00473  -0.0293   0.1527   1.0000
   6.750   0.8838   0.01117   0.00499  -0.0280   0.1363   1.0000
   7.000   0.9043   0.01152   0.00527  -0.0266   0.1214   1.0000
   7.250   0.9248   0.01189   0.00557  -0.0253   0.1081   1.0000
   7.500   0.9454   0.01226   0.00588  -0.0239   0.0967   1.0000
   7.750   0.9659   0.01266   0.00622  -0.0226   0.0866   1.0000
   8.000   0.9870   0.01304   0.00656  -0.0214   0.0782   1.0000
   8.250   1.0087   0.01341   0.00691  -0.0204   0.0716   1.0000
   8.500   1.0299   0.01384   0.00732  -0.0192   0.0655   1.0000
   8.750   1.0515   0.01425   0.00770  -0.0182   0.0604   1.0000
   9.000   1.0731   0.01467   0.00813  -0.0172   0.0560   1.0000
   9.250   1.0942   0.01513   0.00857  -0.0161   0.0522   1.0000
   9.500   1.1152   0.01560   0.00906  -0.0151   0.0491   1.0000
   9.750   1.1365   0.01604   0.00951  -0.0141   0.0462   1.0000
  10.000   1.1555   0.01664   0.01010  -0.0128   0.0434   1.0000
